customer_id,customer_name,street_address,city,zipcode,county,region,viewing_frequency,Total_No_of_Shows,total_view_duration,total_no_of_shows,churn
48496,21483,43509,2339,77033,410,3,0,14.467085191269655,,,0
34975,12755,4619,430,24060,620,0,0,14.467085191269655,,,1
45900,8644,19126,4476,95050,836,4,0,14.467085191269655,,,0
11253,36808,36328,905,20815,620,0,0,14.467085191269655,,,0
46817,45370,13679,4063,97221,629,4,0,14.467085191269655,,,0
391,10198,14920,1202,77433,410,3,147,10.0,5492.0,10.0,0
15173,8565,22352,199,30345,266,2,228,26.0,10752.0,26.0,1
29890,4529,48857,3213,53223,603,1,0,14.467085191269655,,,0
31271,3264,2149,2339,77038,410,3,0,14.467085191269655,,,0
45080,34022,36726,932,24073,620,0,0,14.467085191269655,,,1
3500,33609,9853,2689,44107,241,1,160,29.0,6142.0,29.0,0
10417,33296,2586,1879,78626,1027,3,0,14.467085191269655,,,1
41603,41754,48460,1554,14901,178,0,0,14.467085191269655,,,0
34075,8741,34328,2831,94551,8,4,0,14.467085191269655,,,1
47771,42223,25441,4472,32771,852,2,0,14.467085191269655,,,0
2658,2987,6313,2446,32225,295,2,241,25.0,11310.0,25.0,0
6874,29881,6339,2339,77077,410,3,0,14.467085191269655,,,1
42545,25781,913,2892,40214,467,2,0,14.467085191269655,,,0
1058,10082,1099,2446,32246,295,2,171,15.0,8044.0,15.0,0
14813,29387,34261,199,30338,266,2,232,29.0,9536.0,29.0,0
5373,32649,40625,4414,55128,996,1,0,14.467085191269655,,,0
17966,36708,9678,1476,98328,723,4,181,19.0,7765.0,19.0,1
10335,22705,31422,59,22304,12,0,0,14.467085191269655,,,0
11466,9462,2650,2339,77047,410,3,0,14.467085191269655,,,1
48292,866,37336,4319,97471,285,4,0,14.467085191269655,,,0
37392,30059,32105,3887,10803,1010,0,0,14.467085191269655,,,0
42012,48835,49343,5231,8361,237,0,0,14.467085191269655,,,0
30146,31308,3365,4465,44870,315,1,0,14.467085191269655,,,0
43218,23999,216,676,92230,792,4,0,14.467085191269655,,,0
5240,30174,17792,597,20833,620,0,0,14.467085191269655,,,0
1243,3585,12320,3701,97914,562,4,54,8.0,1968.0,8.0,0
46533,19307,35855,4063,97215,629,4,0,14.467085191269655,,,0
22422,12624,21137,4243,87124,832,3,154,14.0,7217.0,14.0,0
